Project,Total CPU Requests,Total CPU Limits,Total Memory Requests,Total Memory Limits,Quota CPU Requests,Quota CPU Limits,Quota Memory Requests,Quota Memory Limits,Pod Count
project.project.openshift.io/openshift-marketplace,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-monitoring,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-multus,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-network-diagnostics,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-network-node-identity,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-network-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-node,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-nutanix-infra,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-oauth-apiserver,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-openstack-infra,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-operator-lifecycle-manager,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-operators,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-operators-redhat,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-ovirt-infra,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-ovn-kubernetes,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-route-controller-manager,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-service-ca,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-service-ca-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-user-workload-monitoring,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-vsphere-infra,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/sas,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/test,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/test-ankoji,0,0,0,0,N/A,N/A,N/A,N/A,0
